Error category,Source sentence,Target sentence,Reference
L; W,"It is difficult to get each pound of rice or fish slightly toasted and mixed evenly with the rest of the rice without burning it.","很难让每磅米饭或鱼稍微烘烤并与其余的米饭均匀混合而不燃烧。",""
L; W,"It is difficult to get each side of rice or fish slightly toasted and mixed evenly with the rest of the rice without burning it.","很难让米饭或鱼的每一面稍微烘烤并与其余的米饭均匀混合而不燃烧。",""
L; W,"It is difficult to get each chunk of rice or fish slightly toasted and mixed evenly with the rest of the rice without burning it.","很难让每块米饭或鱼稍微烘烤并与其余的米饭均匀混合而不燃烧。",""
L; W,"It is difficult to get each serving of rice or fish slightly toasted and mixed evenly with the rest of the rice without burning it.","很难让每份米饭或鱼稍微烘烤并与其余的米饭均匀混合而不燃烧。",""
L; W,"It is difficult to get each piece of chicken or fish slightly toasted and mixed evenly with the rest of the rice without burning it.","很难让每块鸡肉或鱼稍微烘烤并与其余的米饭均匀混合而不燃烧。",""
L; W,"It is difficult to get each piece of shrimp or fish slightly toasted and mixed evenly with the rest of the rice without burning it.","很难让每块虾或鱼稍微烘烤并与其余的米饭均匀混合而不燃烧。",""
L; W,"It is difficult to get each piece of crab or fish slightly toasted and mixed evenly with the rest of the rice without burning it.","很难让每块螃蟹或鱼稍微烘烤并与其余的米饭均匀混合而不燃烧。",""
W,"It is difficult to get each piece of rice or fish finely toasted and mixed evenly with the rest of the rice without burning it.","很难在不燃烧的情况下将每块米饭或鱼都烤熟并与其余的米饭均匀混合。",""
W,"It is difficult to get each piece of rice or fish slightly toasted and mixed together with the rest of the rice without burning it.","很难在不燃烧的情况下将每块米饭或鱼稍微烘烤并与其余的米饭混合在一起。",""
L; W,"It is difficult to get each piece of rice or fish slightly toasted and mixed evenly with the rest of the mixture without burning it.","很难让每块米饭或鱼稍微烘烤并与其余混合物均匀混合而不燃烧。",""
L; W,"It is difficult to get each piece of rice or fish slightly toasted and mixed evenly with the rest of the batter without burning it.","很难让每块米饭或鱼稍微烘烤并与其余面糊均匀混合而不燃烧。",""
L; W,"It is difficult to get each piece of rice or fish slightly toasted and mixed evenly with the rest of the bread without burning it.","很难让每块米饭或鱼稍微烘烤并与其余面包均匀混合而不燃烧。",""
L,"Deserts, camel rides, danxia landforms and historical sites along the silk coast are among the biggest draws for northwestern China, the agency said.","该机构表示，沙漠，骑骆驼，丹霞地貌和丝绸海岸的历史遗迹是中国西北部最大的吸引力之一。","该机构表示，【丝绸海岸的】沙漠，骑骆驼，丹霞地貌和「丝绸海岸的」历史遗迹是中国西北部最大的吸引力之一。"
L,"Deserts, camel rides, danxia landforms and historical sites along the silk river are among the biggest draws for northwestern China, the agency said.","该机构表示，沙漠，骑骆驼，丹霞地貌和丝绸河沿岸的历史遗迹是中国西北部最大的吸引力之一。",""
L,"Deserts, camel rides, danxia landforms and historical sites along the silk border are among the biggest draws for northwestern China, the agency said.","该机构表示，沙漠，骑骆驼，丹霞地貌和丝绸边境的历史遗迹是中国西北部最大的吸引力之一。",""
U,"Pattani launched its Puangmanee durian season on Thursday, with events designed to lure the lucrative Chinese market for this new variety of the pungent fruit.","北大年周四推出了Puangmanee榴莲季节，其活动旨在吸引利润丰厚的中国市场购买这种新品种的刺激性水果。","北大年周四推出了「Puangmanee」榴莲季节，其活动旨在吸引利润丰厚的中国市场购买这种新品种的刺激性水果。"
U,"Pattani launched its Puangmanee durian season on Thursday, with promotions designed to lure the lucrative Chinese market for this new variety of the pungent fruit.","北大年（Pattani）周四推出了榴莲产季，其促销活动旨在吸引利润丰厚的中国市场购买这种新品种的刺激性水果。","北大年（Pattani）周四推出了【托曼尼】榴莲产季，其促销活动旨在吸引利润丰厚的中国市场购买这种新品种的刺激性水果。"
U,"Pattani launched its Puangmanee durian season on Thursday, with festivities designed to lure the lucrative Chinese market for this new variety of the pungent fruit.","北大年（Pattanin）周四推出了Puangmanee榴莲季节，其庆祝活动旨在吸引利润丰厚的中国市场购买这种新品种的辛辣水果。",""
U,"Pattani launched its Puangmanee durian season on Thursday, with celebrations designed to lure the lucrative Chinese market for this new variety of the pungent fruit.","北大年（Pattani）周四推出了Puangmanee榴莲季节，庆祝活动旨在吸引利润丰厚的中国市场购买这种新品种的辛辣水果。",""
U,"Pattani launched its Puangmanee durian season on Thursday, with events designed to lure the overseas Chinese market for this new variety of the pungent fruit.","北大年周四推出了Puangmanee榴莲季节，其活动旨在吸引海外中国市场购买这种新品种的辛辣水果。",""
U,"Pattani launched its Puangmanee durian season on Thursday, with events designed to lure the Malaysian Chinese market for this new variety of the pungent fruit.","北大年周四推出了Puangmanee榴莲季节，其活动旨在吸引马来西亚中国市场购买这种新品种的刺激性水果。",""
U,"Pattani launched its Puangmanee durian season on Thursday, with events designed to lure the global Chinese market for this new variety of the pungent fruit.","北大年周四推出了Puangmanee榴莲季节，其活动旨在吸引全球中国市场购买这种新品种的刺激性水果。",""
W,"The region boasts abundant tourism resources and attractive destinations, along with a robust economy, and growth, and a strong demand for business travel.","该地区拥有丰富的旅游资源和有吸引力的目的地，以及强劲的经济和增长，以及对商务旅行的强劲需求。","该地区拥有丰富的旅游资源和有吸引力的目的地，以及强劲的经济和增长，以及对商务旅行的「强劲【强烈】」需求。"
L; W,"On some level, the tale stokes a primal fear, with the narrator a version of a universal bogey man that seems to haunt us.","在某种程度上，这个故事激起了一种原始的恐惧，叙述者是一个普遍的妖怪的版本，似乎困扰着我们。","在某种程度上，这个故事激起了一种原始的恐惧，叙述者是一个【似乎困扰着我们 的】普遍的【一种】妖怪「的版本」「，似乎困扰着我们」。"
L; U,"On some level, the poem stokes a primal fear, with the narrator a version of a universal bogey man that seems to haunt us.","在某种程度上，这首诗激起了一种原始的恐惧，叙述者是一个普遍的妖怪，似乎困扰着我们。",""
L; U,"On some level, the work stokes a primal fear, with the narrator a version of a universal bogey man that seems to haunt us.","在某种程度上，这部作品激起了一种原始的恐惧，叙述者是一个普遍的妖怪，似乎困扰着我们。",""
L; U,"On some level, the tale stokes a primal fear, with the villain a version of a universal bogey man that seems to haunt us.","在某种程度上，这个故事激起了一种原始的恐惧，反派是一个普遍的妖怪，似乎困扰着我们。",""
L; U,"On some level, the tale stokes a primal fear, with the character a version of a universal bogey man that seems to haunt us.","在某种程度上，这个故事激起了一种原始的恐惧，这个角色是一个普遍的妖怪，似乎困扰着我们。",""
L; O; U,"On some level, the tale stokes a primal fear, with the reader a version of a universal bogey man that seems to haunt us.","在某种程度上，这个故事激起了一种原始的恐惧，读者似乎是一个普遍的妖怪，似乎困扰着我们。",""
W,"He points out everything done wrong in the first egg fried rice video, a video that has gathered more than 17 million views so far.","他指出了第一个蛋炒饭视频中做错的一切，到目前为止，该视频已收集了超过1700万的观看次数。","他指出了第一个蛋炒饭视频中做错的一切，到目前为止，该视频已「收集【获得】」了超过1700万的观看次数。"
W,"He points out everything done right in the first egg fried rice video, a video that has gathered more than 17 million views so far.","他指出了第一个蛋炒饭视频中所做的一切，到目前为止，该视频已收集了超过1700万的观看次数。","他指出了第一个蛋炒饭视频中「所做【做对】」的一切，到目前为止，该视频已收集了超过1700万的观看次数。"
W,"He points out everything done differently in the first egg fried rice video, a video that has gathered more than 17 million views so far.","他指出，在第一个蛋炒饭视频中，所有的做法都不同，到目前为止，该视频已收集了超过1700万的观看次数。","他指出，在第一个蛋炒饭视频中，所有的做法「都不同【不同的地方】」，到目前为止，该视频已收集了超过1700万的观看次数。"
W,"He points out everything done well in the first egg fried rice video, a video that has gathered more than 17 million views so far.","他指出，在第一个蛋炒饭视频中，一切都做得很好，到目前为止，该视频已经收集了超过1700万的观看次数。",""
W,"He points out everything done previously in the first egg fried rice video, a video that has gathered more than 17 million views so far.","他指出了之前在第一个蛋炒饭视频中所做的一切，到目前为止，该视频已收集了超过1700万的观看次数。",""
L,"He points out everything done perfectly in the first egg fried rice video, a video that has gathered more than 17 million views so far.","他指出，在第一个蛋炒饭视频中，一切都做得很完美，到目前为止，该视频已经获得了超过1700万的观看次数。","他指出，在第一个蛋炒饭视频中，一切「都做得很完美【做得很完美的地方】」，到目前为止，该视频已经获得了超过1700万的观看次数。"
L,"To reach the heart of Rovaniemi, Finland, step away from the city center and into the quiet of the forest, where they rule.","要到达芬兰罗瓦涅米的中心地带，请远离市中心，进入他们统治的宁静森林。","要到达芬兰罗瓦涅米的中心地带，请远离市中心，进入他们统治的「宁静森林【森林的宁静中】」。"
L,"To reach the heart of Rovaniemi, Finland, step away from the city life and into the quiet of the forest, where they rule.","要到达芬兰罗瓦涅米的中心地带，请远离城市生活，进入他们统治的宁静森林。",""
U,"Tourists can immerse themselves in the more than 50 tourist activities located in Jilin during the season, ranging from a ski resort to a music festival.","游客可以沉浸在吉林的50多种旅游活动中，从滑雪胜地到音乐节。","【…】游客可以沉浸在吉林的50多种旅游活动中，从滑雪胜地到音乐节。"
U,"He and his family usually spend a day or two near the lake, which offers refreshing experiences with the nice air and sunshine, he said.","他说，他和他的家人通常在湖边度过一两天，那里有清新的空气和阳光。","他说，他和他的家人通常在湖边度过一两天，那里有清新的空气和阳光【，提供令人耳目一新的体验】。"
W,"He and his family usually spend a day or two near the lake, which offers refreshing activities with the nice air and sunshine, he said.","他说，他和他的家人通常在湖边度过一两天，那里有清爽的活动，空气和阳光充足。","他说，他和他的家人通常在湖边度过一两天，那里有清爽的活动，空气和阳光「充足」。"
L,"That is, despite the oceans involved, an Irish accent often shares more similar features to an American one than it does to the English.","也就是说，尽管涉及海洋，但爱尔兰口音通常与美国口音比英国口音具有更相似的特征。","也就是说，尽管涉及海洋，但爱尔兰口音通常「与美国口音比英国口音」具有更相似的特征。"
L; U,"That is, despite the oceans involved, an Irish accent often shares more similar traits to an American one than it does to the English.","也就是说，尽管涉及海洋，但爱尔兰口音通常与美国口音比与英国口音更相似。","也就是说，尽管涉及海洋，但爱尔兰口音通常与美国口音比与英国口音「更相似【具有更相似的 特征】」。"
L; U,"That is, despite the oceans involved, an Irish accent often shares more similar qualities to an American one than it does to the English.","也就是说，尽管涉及海洋，但爱尔兰口音通常与美国口音比英国口音更相似。",""
L; U,"That is, despite the oceans involved, an Irish accent often shares more similar aspects to an American one than it does to the English.","也就是说，尽管涉及海洋，但爱尔兰口音通常与美国口音比英国口音更相似。",""
W,"And on a hot summer day, expect them to be bracing, as they come in from the Atlantic and remain ice-cold year-round as a result.","在炎热的夏日，预计它们会支撑，因为它们来自大西洋，因此全年保持冰冷。","在炎热的夏日，预计它们会「支撑【振作起来】」，因为它们来自大西洋，因此全年保持冰冷。"
W,"And on a bright summer day, expect them to be bracing, as they come in from the Atlantic and remain ice-cold year-round as a result.","在阳光明媚的夏日，预计它们会支撑起来，因为它们来自大西洋，因此全年保持冰冷。",""
W,"And on a hot summer evening, expect them to be bracing, as they come in from the Atlantic and remain ice-cold year-round as a result.","在炎热的夏日傍晚，预计它们会支撑起来，因为它们来自大西洋，因此全年都保持冰冷。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家在回顾中国烹饪的起源的同时，也开始使中国烹饪现代化，尤其是炒锅。","近年来，越来越多的美食作家和科学家在回顾中国烹饪的起源的同时，也开始使中国烹饪现代化，尤其是「炒锅【炒菜】」。"
W,"In recent decades, an increasing number of food writers and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近几十年来，越来越多的美食作家和科学家一直在使中国烹饪现代化，同时回顾其起源，尤其是炒黑。",""
W,"In recent times, an increasing number of food writers and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家一直在使中国烹饪现代化，同时回顾其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food historians and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的食品历史学家和科学家一直在使中国烹饪现代化，同时回顾其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food designers and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的食品设计师和科学家一直在使中国烹饪现代化，同时回顾其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food producers and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的食品生产商和科学家在回顾中国烹饪的起源的同时，一直在对中国烹饪进行现代化改造，尤其是炒黑。",""
W,"In recent years, an increasing number of food enthusiasts and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食爱好者和科学家在回顾中国烹饪的起源的同时，也开始对中式烹饪进行现代化改造，尤其是炒锅。",""
W,"In recent years, an increasing number of food professionals and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的食品专业人士和科学家在回顾中国烹饪的起源的同时，一直在使中式烹饪现代化，尤其是炒黑。",""
W,"In recent years, an increasing number of food critics and scientists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食评论家和科学家一直在使中国烹饪现代化，同时回顾其起源，尤其是炒锅。",""
W,"In recent years, an increasing number of food writers and researchers have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和研究人员在回顾中国烹饪的起源的同时，也开始对中式烹饪进行现代化改造，尤其是炒锅。",""
W,"In recent years, an increasing number of food writers and journalists have been modernizing Chinese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和记者在回顾中国烹饪起源的同时，也开始对中式烹饪进行现代化改造，尤其是炒锅。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Korean cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家一直在对韩国烹饪进行现代化改造，同时回顾其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Cantonese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家在回顾粤菜起源的同时，也开始对粤菜进行现代化改造，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Asian cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家一直在对亚洲烹饪进行现代化改造，同时回顾其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Japanese cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家一直在对日本烹饪进行现代化改造，同时回顾其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing traditional cooking while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家在回顾传统烹饪的起源的同时，对传统烹饪进行了现代化改造，尤其是炒锅。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Chinese cuisine while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家在回顾中国菜起源的同时，也开始对中餐进行现代化改造，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Chinese food while looking back into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家在回顾中国食品起源的同时，也开始对中国食物进行现代化改造，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Chinese cooking while looking deeply into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家一直在使中国烹饪现代化，同时深入研究其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Chinese cooking while looking deep into its origins, especially wok hei.","近年来，越来越多的美食作家和科学家一直在使中国烹饪现代化，同时深入研究其起源，尤其是炒黑。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Chinese cooking while looking back into its origins, namely wok hei.","近年来，越来越多的美食作家和科学家在回顾其起源的同时，一直在使中国烹饪现代化，即炒锅。",""
W,"In recent years, an increasing number of food writers and scientists have been modernizing Chinese cooking while looking back into its origins, specifically wok hei.","近年来，越来越多的美食作家和科学家一直在使中国烹饪现代化，同时回顾其起源，特别是炒黑。",""
W,"The Music Sabbatical, as the record company is dubbing it, will give five people the opportunity to study how the micro plastics have infiltrated the region.","唱片公司正在配音的音乐休假将让五个人有机会研究微塑料如何渗透到该地区。","唱片公司「正在配音的【称之为】」音乐休假将让五个人有机会研究微塑料如何渗透到该地区。"
W,"The Summer Sabbatical, as the record company is dubbing it, will give five people the opportunity to study how the micro plastics have infiltrated the region.","唱片公司正在为夏季休假配音，它将让五个人有机会研究微塑料如何渗透到该地区。",""
W,"The Antarctic Sabbatical, as the record company is dubbing it, will give five people the opportunity to study how the micro plastics have infiltrated the music.","唱片公司正在配音的南极休假将让五个人有机会研究微塑料如何渗透到音乐中。",""
U,"We've seen the effect of when you train and empower individuals to understand science, they can generate invaluable information and data that ultimately then can create solutions.","我们已经看到了当你训练和授权个人理解科学时，他们可以产生宝贵的信息和数据，最终可以创建解决方案。","我们已经看到了当你训练和授权个人理解科学时【…】，他们可以产生宝贵的信息和数据，最终可以创建解决方案。"
U,"We've seen the power of when you train and empower people to understand science, they can generate invaluable information and data that ultimately then can create solutions.","我们已经看到了当你训练和授权人们理解科学时，他们可以产生宝贵的信息和数据，最终可以创建解决方案。",""
O,"The Changchun ice and snow new world park is scheduled to open on dec 2015, and more than 100 pieces of snow ice will be on display.","长春冰雪新世界公园计划于2015年12月开放，届时将展出100多块雪冰。","长春冰雪新世界公园计划于2015年12月开放，「届时」将展出100多块雪冰。"
O,"The Changchun ice and snow new world park is scheduled to open on dec 2013, and more than 100 pieces of snow ice will be on display.","长春冰雪新世界公园计划于2013年12月开放，届时将展出100多块雪冰。",""
O,"The Changchun ice and snow new world park is scheduled to open on dec 2014, and more than 100 pieces of snow ice will be on display.","长春冰雪新世界公园计划于2014年12月开放，届时将展出100多块雪冰。",""
O,"The Changchun ice and snow new world park is scheduled to open on dec 2012, and more than 100 pieces of snow ice will be on display.","长春冰雪新世界公园计划于2012年12月开园，届时将展出100多块雪冰。",""
O,"The Changchun ice and snow new world park is scheduled to open on dec 2008, and more than 100 pieces of snow ice will be on display.","长春冰雪新世界公园计划于2008年12月开园，届时将展出100多块雪冰。",""
O,"The Changchun ice and snow new world park is scheduled to open on dec 2007, and more than 100 pieces of snow ice will be on display.","长春冰雪新世界公园计划于2007年12月开放，届时将展出100多块雪冰。",""
O,"The Changchun ice and snow new world park is scheduled to open on dec 12, and more than 100 pieces of Chinese ice will be on display.","长春冰雪新世界公园计划于12月12日开放，届时将展出100多块中国冰块。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least favourite adopted son.","但大多数人都认出他，因为他是吹笛手的化身，被哈梅林选中来冒充它同时喜欢和最不喜欢的养子。","但大多数人都认出他，因为他是「吹笛手【花衣魔笛手】」的化身，被哈梅林选中来冒充它同时喜欢和最不喜欢的养子。"
N,"But most villagers recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least favourite adopted son.","但大多数村民都认出了他，他是Pied吹笛手的化身，被哈梅林选中来冒充它同时喜欢和最不喜欢的养子。",""
N,"But most locals recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least favourite adopted son.","但大多数当地人都认出他，因为他是Pied吹笛手的化身，被哈梅林选中来冒充它同时喜欢和最不喜欢的养子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least beloved adopted son.","但大多数人都认出他是什么，Pied Piper的化身，被哈梅林选中来冒充它同时最受欢迎和最不受欢迎的养子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least popular adopted son.","但大多数人都认出他是什么，Pied Piper的化身，被哈梅林选中来冒充它同时最受欢迎和最不受欢迎的养子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least favoured adopted son.","但大多数人都认出他是什么，Pied Piper 的化身，被哈梅林选中来冒充它同时最受欢迎和最不受宠的养子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least trusted adopted son.","但大多数人都认出他是什么，Pied Piper 的化身，被哈梅林选中来冒充它同时最受欢迎和最不信任的养子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least desirable adopted son.","但大多数人都认出他，他是Pied吹笛手的化身，被哈梅林选中来冒充它同时最受欢迎和最不受欢迎的养子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least loved adopted son.","但大多数人都认出他，因为他是Pied吹笛者的化身，被哈梅林选中来冒充它同时最爱和最不爱的养子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least favourite adopted nephew.","但大多数人都认出他，他是Pied吹笛手的化身，被哈梅林选中来冒充它同时喜欢和最不喜欢的收养侄子。",""
N,"But most people recognise him for what he is, the Pied piper incarnate, chosen by Hamelin to impersonate its simultaneously favourite and least favourite adopted daughter.","但大多数人都认出他是什么，Pied Piper的化身，被哈梅林选中来冒充它同时最喜欢和最不喜欢的养女。",""
U,"Another common way to eat potatoes in France is in the form of a gratin, a kind of fancy, creamy casserole dish with a browned crust.","在法国，另一种常见的土豆吃法是焗烤，一种带有褐色外壳的花哨奶油砂锅菜。","在法国，另一种常见的土豆吃法是【以】焗烤【的形式】，一种带有褐色外壳的花哨奶油砂锅菜。"
U,"Another popular way to eat potatoes in France is in the form of a gratin, a kind of thick, creamy casserole dish with a browned crust.","在法国，另一种流行的土豆吃法是焗烤，一种厚实的奶油砂锅菜，外皮呈褐色。",""
U,"Another popular way to eat potatoes in France is in the form of a gratin, a kind of thin, creamy casserole dish with a browned crust.","在法国吃土豆的另一种流行方式是焗烤，一种薄而奶油状的砂锅菜，外皮呈褐色。",""
U,"Another popular way to eat potatoes in France is in the form of a gratin, a kind of sweet, creamy casserole dish with a browned crust.","在法国，另一种流行的土豆吃法是焗烤，一种甜美的奶油砂锅菜，外皮呈褐色。",""
U; W,"Responsible for meeting and greeting visiting dignitaries and visitors, he leads tours of the city and maintains the enduring hold of the legend that draws most travellers here.","他负责会见和问候来访的政要和游客，带领城市之旅，并保持吸引大多数游客的传奇的持久保留。","他负责会见和问候来访的政要和游客，带领城市之旅，并保持吸引大多数游客【来这】的「传奇的持久保留【不朽传奇】」。"
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest spending growth on a yearly basis, according to UnionPay data.","根据银联的数据，在国暑假期间，新疆和宁夏是年度消费增长最快的两个目的地之一。","根据银联的数据，在国暑假期间，新疆和宁夏是【见证】年度消费增长最快的两个目的地之一。"
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest tourism growth on a yearly basis, according to UnionPay data.","根据银联的数据，在全国暑假期间，新疆和宁夏是旅游年增长率最高的两个目的地之一。",""
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest income growth on a yearly basis, according to UnionPay data.","根据银联的数据，在国暑假期间，新疆和宁夏是收入年增长率最高的两个目的地之一。",""
U; W,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest population growth on a yearly basis, according to UnionPay data.","根据银联的数据，在国庆暑假期间，新疆和宁夏是人口年增长率最高的两个目的地之一。","根据银联的数据，在「国庆【全国】」暑假期间，新疆和宁夏是【…】人口年增长率最高的两个目的地之一。"
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest spending spending on a yearly basis, according to UnionPay data.","根据银联的数据，在全国暑假期间，新疆和宁夏是年度消费支出最高的两个目的地之一。",""
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest spending percentage on a yearly basis, according to UnionPay data.","根据银联的数据，在全国暑假期间，新疆和宁夏是年度消费比例最高的两个目的地之一。",""
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest spending increase on a yearly basis, according to UnionPay data.","根据银联的数据，在国暑假期间，新疆和宁夏是年度消费增幅最高的两个目的地之一。",""
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest spending spend on a yearly basis, according to UnionPay data.","根据银联的数据，在全国暑假期间，新疆和宁夏是年度消费支出最高的两个目的地之一。",""
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest spending income on a yearly basis, according to UnionPay data.","根据银联的数据，在全国暑假期间，新疆和宁夏是年度消费收入最高的两个目的地之一。",""
U,"During the national summer holiday, Xinjiang and Ningxia were among the top two destinations that saw the highest spending growth on a regular basis, according to UnionPay data.","根据银联的数据，在国暑假期间，新疆和宁夏是消费增长最快的两个目的地之一。",""
U,"Those who have previously visited the Schengen area and have a previous visa history will be granted the opportunity to obtain a multiple-entry visa valid for up to five years.","那些以前访问过申根地区并有签证记录的人将有机会获得有效期长达五年的多次入境签证。","那些以前访问过申根地区并有【先前】签证记录的人将有机会获得有效期长达五年的多次入境签证。"
U,"Those who have previously visited the Schengen area and have a previous visa history will be granted the option to obtain a multiple-entry visa valid for up to five years.","那些以前访问过申根地区并有签证历史的人将可以选择获得有效期最长为五年的多次入境签证。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在南极洲的免费访问中最好地保护环境。","「Airbnb」【正在】为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在南极洲的「免费【全费】」访问中最好地保护环境。"
N; W,"Airbnb is offering a team of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb正在为一个谈论环境的人团队提供一个机会，让他们参与科学研究，了解如何在南极洲进行免费访问期间最好地保护环境。",""
N; W,"Airbnb is offering a panel of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb正在为一个讨论环境的人小组提供一个机会，让他们参与科学研究，了解如何在南极洲免费付费访问期间最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the ship a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论这艘船的人提供了一个参与科学研究的机会，了解如何在南极洲的免费付费访问中最好地保护它。",""
N; U; W,"Airbnb is offering a lot of people talking about the glacier a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论冰川的人提供了一个参与科学研究的机会，了解如何在南极洲的免费付费访问中最好地保护它。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in basic research on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论环境的人提供了一个机会，让他们参与基础研究，了解如何在南极洲的免费付费访问中最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in collaborative research on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论环境的人提供了一个参与合作研究的机会，了解如何在南极洲的免费付费访问期间最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific discussion on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论环境的人提供了一个机会，让他们参与科学讨论，讨论如何在南极洲免费访问期间最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific debate on how to best preserve it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论环境的人提供了一个机会，让他们参与科学辩论，讨论如何在南极洲免费访问期间最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to best protect it during an all-expense paid visit to Antarctica.","Airbnb为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在南极洲的免费付费访问中最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Florida.","Airbnb为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在佛罗里达州的免费付费访问期间最好地保护它。",""
